,avg_product_price,avg_freight_value,avg_product_volume,avg_review_score,avg_delivery_delay,avg_installments,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_voucher,top_master_category,cohort_month,seller_density,std_delivery_delay,unique_categories_sold,review_pct_2,review_pct_3,review_pct_4,early_orders_34d,churned
1829,9.9,9.34,1960.0,4.0,-17.0,3.0,0,1,0,0,Health & Beauty,2017-08,1,0.0,1,0.0,0.0,1.0,1,1
1830,149.6451724137931,14.928275862068967,3556.344827586207,4.0344827586206895,-10.862068965517242,2.0689655172413794,1,1,0,1,Auto,2017-02,1,5.8476132978154585,1,0.06896551724137931,0.06896551724137931,0.4827586206896552,2,0
1831,58.12777777777777,11.987777777777778,18187.11111111111,3.2222222222222223,-27.333333333333332,6.5,0,1,0,0,Construction,2018-02,1,14.370107863199914,2,0.0,0.0,0.0,1,0
1832,57.400000000000006,13.44,2205.0,4.5,-15.25,4.0,0,1,0,0,Stationery & Art,2017-11,1,2.6299556396765835,1,0.0,0.0,0.5,4,1
1833,17.142857142857142,13.707142857142857,7824.285714285715,5.0,-23.714285714285715,2.2,0,1,0,0,Appliances,2018-01,9,4.15187851918806,1,0.0,0.0,0.0,5,1
1834,41.75714285714286,17.552857142857142,3700.0,2.4285714285714284,-18.142857142857142,1.5,0,1,0,0,Home & Living,2018-04,1,2.2677868380553634,2,0.8571428571428571,0.0,0.0,1,1
1835,102.0,23.64,17160.0,5.0,-17.0,5.0,0,1,0,0,Health & Beauty,2018-03,1,,1,0.0,0.0,0.0,1,1
1836,60.9,22.36,3744.0,5.0,-22.0,1.0,1,0,0,0,Health & Beauty,2018-07,2,,1,0.0,0.0,0.0,1,1
1837,41.24,12.9425,2959.1666666666665,4.25,-10.833333333333334,1.25,0,1,0,0,Electronics,2017-10,2,5.30580014243989,3,0.08333333333333333,0.08333333333333333,0.3333333333333333,2,1
1838,54.317727272727275,12.860227272727274,1595.5227272727273,4.5,-15.727272727272727,2.0,1,1,0,0,Health & Beauty,2018-05,1,9.536621303028573,2,0.022727272727272728,0.06818181818181818,0.29545454545454547,35,0
1839,109.95,14.58,13246.0,4.5,-13.0,5.0,0,1,0,0,Furniture,2018-06,1,11.313708498984761,2,0.0,0.0,0.5,1,0
1840,31.575,11.624583333333334,4022.0833333333335,4.5,-10.916666666666666,1.5833333333333333,1,1,1,0,Electronics,2018-07,1,5.16608224838721,4,0.0,0.041666666666666664,0.25,18,0
1841,59.9,19.956666666666667,1056.0,3.6666666666666665,-21.333333333333332,1.6666666666666667,0,1,0,1,Stationery & Art,2017-02,1,0.5773502691896255,1,0.0,0.6666666666666666,0.0,1,1
1842,96.74615384615385,17.23923076923077,9511.923076923076,4.538461538461538,-16.0,2.3333333333333335,1,1,0,0,Miscellaneous,2017-02,1,6.110100926607787,3,0.0,0.15384615384615385,0.15384615384615385,2,1
1843,90.9121212121212,14.720606060606059,22086.242424242424,4.363636363636363,-12.333333333333334,2.4285714285714284,1,1,0,1,Toys & Baby,2017-05,1,5.481027884135116,2,0.09090909090909091,0.09090909090909091,0.18181818181818182,2,1
1844,49.9341935483871,9.98741935483871,3880.935483870968,3.903225806451613,-7.903225806451613,1.7857142857142858,1,1,0,0,Health & Beauty,2018-02,1,3.590309538277328,1,0.0,0.16129032258064516,0.12903225806451613,20,1
1845,146.39,19.975,15120.0,4.5,-25.75,6.0,1,1,0,0,Miscellaneous,2017-02,3,4.7871355387816905,1,0.0,0.0,0.5,4,1
1846,132.06493506493507,17.563766233766234,33769.4025974026,4.584415584415584,-16.363636363636363,3.2435897435897436,1,1,1,1,Toys & Baby,2017-02,3,5.702974964435325,5,0.0,0.025974025974025976,0.2077922077922078,4,1
1847,102.4,18.1825,14780.0,5.0,-30.75,8.0,0,1,0,0,Construction,2017-01,3,6.5,2,0.0,0.0,0.0,2,1
1848,32.39,16.157999999999998,2288.0,4.0,-13.2,1.4,0,1,1,0,Electronics,2018-06,7,6.685805860178712,1,0.0,0.0,0.2,3,0
1849,122.05514705882354,19.269485294117647,20662.558823529413,4.544117647058823,-12.058823529411764,2.4925373134328357,1,1,1,1,Auto,2017-10,1,6.156916864172453,2,0.0,0.04411764705882353,0.25,4,0
1850,98.92714285714285,15.232857142857142,10005.714285714286,4.857142857142857,-12.428571428571429,2.5714285714285716,1,1,1,0,Auto,2018-01,1,3.6903993847614407,1,0.0,0.0,0.14285714285714285,5,1
1851,42.99,16.55108108108108,11306.216216216217,4.243243243243243,-10.837837837837839,2.2222222222222223,1,1,1,1,Pets,2018-02,1,7.46664253535354,1,0.05405405405405406,0.13513513513513514,0.21621621621621623,5,0
1852,149.0,20.383333333333333,4140.0,5.0,-17.333333333333332,2.8333333333333335,1,1,0,0,Books,2017-03,1,4.457203906785808,1,0.0,0.0,0.0,1,1
1853,38.5,7.94,7488.0,5.0,-18.0,1.6666666666666667,0,1,0,0,Food,2017-05,3,,1,0.0,0.0,0.0,1,1
1854,134.7,13.7404,4540.8,4.44,-10.64,3.96,1,1,0,0,Miscellaneous,2017-02,3,5.2826760895086755,1,0.08,0.0,0.16,2,0
1855,125.0,18.98,1728.0,5.0,-17.0,2.0,0,1,0,0,Toys & Baby,2018-07,1,,1,0.0,0.0,0.0,1,1
1856,37.760000000000005,16.706,2887.2,3.8,-17.8,1.0,1,1,0,1,Stationery & Art,2018-06,2,7.049822692805827,2,0.0,0.4,0.4,3,0
1857,29.88,7.68,3024.0,5.0,-13.0,1.0,0,1,0,0,Electronics,2018-06,2,,1,0.0,0.0,0.0,1,1
1858,79.99,15.66,2254.0,5.0,-16.0,1.0,0,1,0,0,Sports & Outdoors,2018-08,1,,1,0.0,0.0,0.0,1,0
1859,152.4725,19.0325,5534.5,4.0,-13.25,2.5,0,1,0,0,Electronics,2018-05,4,5.737304826019502,2,0.0,0.0,0.0,1,0
1860,27.4,14.36,5220.0,3.5,-20.5,3.0,0,1,0,0,Electronics,2017-01,2,27.577164466275352,1,0.0,0.5,0.5,1,1
1861,26.9,7.445,3298.0,2.5,-1.0,1.0,0,1,0,0,Health & Beauty,2018-08,2,0.0,1,0.0,0.0,0.5,2,0
1862,14.9,12.69,10580.0,5.0,-11.0,2.6,1,1,0,0,Home & Living,2017-06,1,,1,0.0,0.0,0.0,1,1
1863,17.995,7.78,2592.0,4.0,-11.0,1.0,0,1,0,0,Health & Beauty,2017-08,1,2.8284271247461903,1,0.0,0.5,0.0,1,1
1864,9.9,14.1,6000.0,5.0,-9.0,2.0,0,1,0,0,Electronics,2017-12,1,,1,0.0,0.0,0.0,1,1
1865,14.989999999999998,8.14,9100.0,4.5,-2.5,1.0,0,1,0,0,Auto,2018-08,3,0.7071067811865476,1,0.0,0.0,0.5,2,0
1866,12.5,7.39,4080.0,1.0,-9.0,1.0,0,1,0,0,Electronics,2018-08,8,,1,0.0,0.0,0.0,1,0
1867,43.25,19.555,9162.0,5.0,-13.5,1.75,1,1,0,0,Electronics,2017-08,1,0.5345224838248487,1,0.0,0.0,0.0,2,1
1868,129.9,20.86,16250.0,5.0,-8.0,1.0,1,0,0,0,Home & Living,2018-08,1,0.0,1,0.0,0.0,0.0,1,0
1869,59.9,13.99,1584.0,4.0,-15.0,4.0,0,1,0,0,Food,2018-05,1,,1,0.0,0.0,1.0,1,1
1870,42.489999999999995,12.0725,2608.0,4.5,-9.75,1.3333333333333333,1,1,0,0,Sports & Outdoors,2017-07,1,5.737304826019502,1,0.0,0.0,0.5,2,1
1871,77.11363636363636,15.139090909090909,17120.090909090908,4.0,-11.909090909090908,3.3636363636363638,1,1,0,0,Auto,2017-01,2,9.332251019497338,2,0.09090909090909091,0.09090909090909091,0.18181818181818182,1,1
1872,62.9,12.484545454545456,2094.0,4.636363636363637,-12.181818181818182,2.7777777777777777,1,1,0,0,Home & Living,2017-09,1,6.630508001928387,1,0.0,0.09090909090909091,0.18181818181818182,1,0
1873,108.06066666666666,17.983999999999998,20683.0,4.066666666666666,-12.386666666666667,2.289473684210526,1,1,1,1,Stationery & Art,2018-01,2,7.470470395358508,2,0.05333333333333334,0.13333333333333333,0.24,9,0
1874,147.9,14.81,12000.0,5.0,-43.0,3.0,0,1,0,0,Furniture,2017-03,10,,1,0.0,0.0,0.0,1,1
1875,106.23384615384614,21.095961538461538,22846.403846153848,3.423076923076923,-17.865384615384617,4.108695652173913,1,1,0,1,Home & Living,2018-05,3,8.882741243897243,2,0.057692307692307696,0.11538461538461539,0.25,24,0
1876,69.9,16.183,2264.0,4.3,-14.9,2.3,0,1,0,1,Health & Beauty,2018-01,1,10.89801205113422,1,0.1,0.0,0.0,2,1
1877,87.99,15.92,2304.0,5.0,-32.0,4.0,0,1,0,0,Health & Beauty,2017-01,1,,1,0.0,0.0,0.0,1,1
1878,51.034,16.2945,4503.6,4.55,-14.65,2.5625,1,1,1,0,Health & Beauty,2017-08,1,5.7972316442283125,1,0.0,0.1,0.25,1,0
1879,47.55714285714286,9.342857142857143,32000.0,3.142857142857143,-8.857142857142858,5.0,1,1,0,0,Furniture,2017-11,1,10.838643387259795,1,0.0,0.0,0.14285714285714285,2,1
1880,118.78208092485549,16.688843930635837,18790.242774566475,4.427745664739884,-12.77456647398844,2.8902439024390243,1,1,1,1,Sports & Outdoors,2017-03,1,5.331023775148173,1,0.046242774566473986,0.07514450867052024,0.12138728323699421,6,1
1881,75.0,7.75,5520.0,4.5,-28.0,1.5,0,1,1,0,Sports & Outdoors,2018-05,1,7.0710678118654755,1,0.0,0.0,0.5,2,1
1882,84.0,22.52,18224.8,4.6,-15.4,1.2,1,1,1,0,Party,2018-08,2,2.3021728866442674,1,0.0,0.2,0.0,5,0
1883,116.8432156862745,17.948509803921567,13659.996078431372,4.576470588235294,-16.733333333333334,2.614678899082569,1,1,0,1,Sports & Outdoors,2017-01,1,5.476458805639714,1,0.00392156862745098,0.043137254901960784,0.12156862745098039,11,0
1884,143.07,11.573,2475.2,4.3,-10.7,2.4,1,1,1,0,Pets,2018-05,3,4.9899899799498595,1,0.0,0.1,0.1,5,0
1885,133.53,24.025,15048.0,5.0,-5.5,4.5,1,1,0,0,Health & Beauty,2018-03,1,6.363961030678928,1,0.0,0.0,0.0,1,1
1886,33.775,15.73,6000.0,5.0,-11.5,1.5,1,1,0,0,Books,2017-06,1,3.0000000000000004,1,0.0,0.0,0.0,2,1
1887,101.0,14.966,20200.0,3.2,-18.2,2.4,1,1,0,0,Sports & Outdoors,2017-02,1,4.764451699828638,2,0.0,0.0,0.2,4,1
